RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
5463,130033000,2017-10-03T00:00:00.000Z,500000,2017:3851
5464,130034000,1990-06-20T00:00:00.000Z,159000,544:475
5465,130034000,1983-08-15T00:00:00.000Z,81500,441:605
5466,130035000,1996-07-11T00:00:00.000Z,132750,675:652
5467,130035000,1961-05-29T00:00:00.000Z,21700,226:192
5468,130036000,2009-01-29T00:00:00.000Z,400000,2009:276
5469,130036000,2003-05-02T00:00:00.000Z,420000,905:279
5470,130036000,1997-06-03T00:00:00.000Z,234000,695:167
5471,130036000,1995-01-20T00:00:00.000Z,100000,0:0
5472,130037000,1971-06-28T00:00:00.000Z,33300,327:180
5473,130037000,2014-02-27T00:00:00.000Z,500000,2014:656
5474,130038000,2000-03-14T00:00:00.000Z,0,777:1
5475,130038000,1996-05-10T00:00:00.000Z,255000,671:307
5476,130038000,2001-10-01T00:00:00.000Z,401200,823:771
5477,130038000,1993-08-17T00:00:00.000Z,206000,0:0
5478,130038100,1986-12-19T00:00:00.000Z,0,488:377
5479,130039000,1999-02-02T00:00:00.000Z,0,744:588
5480,130039000,1986-10-30T00:00:00.000Z,133000,485:835
5481,130039000,2011-03-25T00:00:00.000Z,418000,2011:1179
5482,130039000,1986-07-30T00:00:00.000Z,0,0:0
5483,130040000,2003-09-02T00:00:00.000Z,220000,932:664
5484,130040000,2017-04-21T00:00:00.000Z,0,2017:1441
5485,130040000,1990-09-13T00:00:00.000Z,107500,548:486
5486,130040000,1989-03-23T00:00:00.000Z,0,0:0
5487,130042000,1968-09-10T00:00:00.000Z,32000,301:412
5488,130042L00,1900-01-01T00:00:00.000Z,0,0:0
5489,130043000,1986-05-05T00:00:00.000Z,97200,476:880
5490,130043000,1981-05-15T00:00:00.000Z,94500,419:748
5491,130044000,1998-10-20T00:00:00.000Z,0,WB 42:398
5492,130044000,1969-01-24T00:00:00.000Z,0,0:0
5493,130044000,1999-05-28T00:00:00.000Z,185000,754:694
